order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,7,15,Pasta,2025-02-19,13:36:00,Pending,1194.98
2,26,70,Soup,2025-08-20,20:17:00,Cancelled,457.94
3,20,53,Sandwich,2024-11-21,12:03:00,Delivered,843.97
4,2,25,Pasta,2025-08-23,16:54:00,Delivered,865.11
5,17,59,Thali,2025-01-14,18:11:00,Pending,1075.01
6,9,51,Salad,2025-01-21,18:24:00,Pending,1349.94
7,17,22,Noodles,2024-09-19,20:59:00,Confirmed,1363.14
8,18,41,Noodles,2025-06-02,20:54:00,Pending,1044.39
9,12,41,Burger,2025-05-10,22:34:00,Pending,1024.09
10,31,13,Thali,2025-07-23,15:05:00,Confirmed,176.2
11,14,28,Pizza,2025-08-22,21:51:00,Pending,1199.68
12,12,43,Sandwich,2025-07-21,13:03:00,Delivered,1031.39
13,21,41,Salad,2025-05-21,21:27:00,Pending,1113.04
14,23,48,Noodles,2024-12-13,11:01:00,Pending,408.22
15,4,47,Sandwich,2024-12-29,21:43:00,Cancelled,223.26
16,3,35,Thali,2025-04-11,15:16:00,Delivered,989.97
17,16,69,Salad,2024-12-06,15:25:00,Confirmed,1382.23
18,10,59,Salad,2024-11-28,12:23:00,Confirmed,813.53
19,20,31,Pizza,2025-05-18,18:17:00,Cancelled,1464.46
20,17,41,Salad,2025-06-30,12:53:00,Pending,969.57
21,14,67,Sandwich,2024-10-17,14:57:00,Pending,522.81
22,19,4,Sandwich,2024-11-06,18:49:00,Cancelled,900.82
23,12,45,Pasta,2025-05-25,15:55:00,Confirmed,842.09
24,10,55,Burger,2025-05-09,21:37:00,Pending,348.34
25,32,11,Pasta,2025-05-06,18:59:00,Pending,241.79
26,19,30,Pasta,2025-03-07,10:44:00,Delivered,1116.77
27,26,32,Thali,2025-04-02,18:04:00,Delivered,803.85
28,19,28,Sandwich,2025-04-05,12:25:00,Cancelled,326.53
29,31,29,Thali,2025-02-01,20:41:00,Delivered,1373.42
30,24,51,Pizza,2025-07-24,15:39:00,Pending,747.25
31,12,30,Roll,2025-04-08,16:30:00,Cancelled,160.17
32,15,58,Sandwich,2025-01-27,11:53:00,Pending,478.94
33,5,21,Soup,2025-06-19,13:37:00,Confirmed,1037.39
34,19,56,Burger,2024-09-05,18:42:00,Pending,1110.61
35,34,60,Sandwich,2024-11-09,15:05:00,Cancelled,835.71
36,16,10,Burger,2024-11-01,15:25:00,Confirmed,955.14
37,32,42,Thali,2025-08-04,17:33:00,Cancelled,1373.54
38,15,62,Biryani,2025-07-20,20:02:00,Delivered,588.32
39,17,7,Pizza,2025-05-02,19:50:00,Cancelled,696
40,32,40,Salad,2025-05-13,17:51:00,Pending,1359.21
41,30,40,Sandwich,2025-01-11,21:04:00,Cancelled,989.38
42,20,12,Pizza,2024-09-26,12:57:00,Pending,1224.63
43,13,45,Noodles,2025-06-30,18:08:00,Cancelled,439.3
44,24,42,Sandwich,2025-08-02,15:42:00,Cancelled,1465.52
45,23,58,Burger,2024-11-07,11:52:00,Delivered,511.59
46,17,43,Soup,2025-02-10,14:42:00,Cancelled,721.33
47,34,68,Pizza,2025-05-10,21:03:00,Cancelled,289.61
48,21,67,Biryani,2025-06-09,12:14:00,Cancelled,1248.09
